geo	value	lat	long
country	Algeria	28.0000272	2.9999825
country	Argentina	-34.9964963	-64.9672817
country	Australia	-24.7761086	134.755
country	Austria	47.2000338	13.199959
country	Bahrain	26.1551249	50.5344606
country	Bangladesh	24.4768783	90.2932426
country	China	35.000074	104.999927
country	Belgium	50.6402809	4.6667145
country	Bosnia and Herzegovina	44.3053476	17.5961467
country	Brazil	-10.3333333	-53.2
country	Romania	45.9852129	24.6859225
country	Bulgaria	42.6073975	25.4856617
country	Canada	61.0666922	-107.9917071
country	Chile	-31.7613365	-71.3187697
country	Colombia	2.8894434	-73.783892
country	Costa Rica	10.2735633	-84.0739102
country	Democratic Republic of the Congo	-2.9814344	23.8222636
country	Denmark	55.670249	10.3333283
country	Dominican Republic	19.0974031	-70.3028026
country	Ecuador	-1.3397668	-79.3666965
country	Egypt	26.2540493	29.2675469
country	United Kingdom	54.7023545	-3.2765753
country	France	46.603354	1.8883335
country	Germany	51.0834196	10.4234469
country	Ghana	8.0300284	-1.0800271
country	Guatemala	15.6356088	-89.8988087
country	India	22.3511148	78.6677428
country	Indonesia	-2.4833826	117.8902853
country	Iran	32.6475314	54.5643516
country	Ireland	52.865196	-7.9794599
country	Israel	31.5313113	34.8667654
country	Italy	42.6384261	12.674297
country	Japan	36.5748441	139.2394179
country	Kazakhstan	47.2286086	65.2093197
country	Kenya	1.4419683	38.4313975
country	Kuwait	29.2733964	47.4979476
country	Malaysia	4.5693754	102.2656823
country	Mexico	19.4326296	-99.1331785
country	Morocco	31.1728205	-7.3362482
country	Netherlands	52.5001698	5.7480821
country	Nigeria	9.6000359	7.9999721
country	North Macedonia	41.6171214	21.7168387
country	Norway	64.5731537	11.52803644
country	Oman	21.0000287	57.0036901
country	Pakistan	30.3308401	71.247499
country	Panama	8.559559	-81.1308434
country	Peru	-6.8699697	-75.0458515
country	Philippines	12.7503486	122.7312101
country	Poland	52.215933	19.134422
country	Portugal	40.0332629	-7.8896263
country	Qatar	25.3336984	51.2295295
country	Russia	64.6863136	97.7453061
country	Saudi Arabia	25.6242618	42.3528328
country	Senegal	14.4750607	-14.4529612
country	Serbia	44.02432285	21.07657433
country	Singapore	1.2904753	103.8520359
country	South Africa	-28.8166236	24.991639
country	South Korea	36.638392	127.6961188
country	Spain	39.3262345	-4.8380649
country	Sweden	59.6749712	14.5208584
country	Switzerland	46.7985624	8.2319736
country	Thailand	14.8971921	100.83273
country	Turkey	38.9597594	34.9249653
country	Ukraine	49.4871968	31.2718321
country	United Arab Emirates	24.0002488	53.9994829
country	Venezuela	8.0018709	-66.1109318
country	United States	39.7837304	-100.4458825
country	united states	39.7837304	-100.4458825
country	North America	51.0000002	-109.0000002
country	British Virgin Islands	18.4024395	-64.5661642
country	US-Virgin-Islands	18.4024395	-64.5661642
country	USA-West	41.993719	-114.041724
country	USA-Midwest	42.508301	-90.640926
country	USA-South	32.742565	-88.369056
country	USA-Northeast	42.049638	-73.487314
country	USA	39.7837304	-100.4458825
country	BRA	-10.3333333	-53.2
country	MEX	19.4326296	-99.1331785
			
state	VGB	18.4024395	-64.5661642
state	US-VI	18.4024395	-64.5661642
state	CAN/QC	45.508889	-73.561667
state	MI	39.7837304	-100.4458825
state	NY	43.1561681	-75.8449946
state	MN	45.9896587	-94.6113288
state	CT	41.6500201	-72.7342163
state	OH	40.2253569	-82.6881395
state	AL	33.2588817	-86.8295337
state	TX	31.8160381	-99.5120986
state	NJ	40.0757384	-74.4041622
state	AR	35.2048883	-92.4479108
state	WI	44.4308975	-89.6884637
state	LA	30.8703881	-92.007126
state	MO	38.7604815	-92.5617875
state	ND	47.6201461	-100.540737
state	MT	47.3752671	-109.6387579
state	PA	40.9699889	-77.7278831
state	OK	34.9550817	-97.2684063
state	IL	40.0796606	-89.4337288
state	CO	38.7251776	-105.6077167
state	KY	37.5726028	-85.1551411
state	MD	39.5162234	-76.9382069
state	DC	38.912708	-77.009223
state	VA	37.1232245	-78.4927721
state	NC	35.6729639	-79.0392919
state	FL	27.7567667	-81.4639835
state	NE	41.7370229	-99.5873816
state	IN	40.3270127	-86.1746933
state	WA	47.2868352	-120.2126139
state	TN	35.7730076	-86.2820081
state	KS	38.27312	-98.5821872
state	MS	32.9715645	-89.7348497
state	GA	32.3293809	-83.1137366
state	SD	44.6471761	-100.348761
state	MA	42.3788774	-72.032366
state	CA	36.7014631	-118.7559974
state	UT	39.4225192	-111.7143584
state	IA	41.9216734	-93.3122705
state	NM	34.5708167	-105.993007
state	AZ	34.395342	-111.7632755
state	NV	39.5158825	-116.8537227
state	ID	43.6447642	-114.0154071
state	MEX/TAM	22.2907037	-97.86516283
state	MEX/BCN	28.6978649	-114.1768339
state	MEX/SON	28.4292391	-109.1915515
state	MEX/CHH	27.8693731	-105.501888
state	ISR/D	31.985288	34.808144
state	WY	43.1700264	-107.5685348
state	ARG/B	-34.4708742	-58.6544118
state	BRA/ES	-12.07918345	-44.99967825
state	COL/ANT	5.87068345	-75.75809937
state	NH	43.4849133	-71.6553992
state	OR	43.9792797	-120.737257
state	Unknown	6.40258995	43.39838202
			
division	VGB	18.4024395	-64.5661642
division	BRA/ES	-12.07918345	-44.99967825
division	BRA/ES/Sao-Mateus	-12.07918345	-44.99967825
division	BRAZ/ES/Joao-Neiva	-19.7635	-40.371
division	COL/ANT	5.87068345	-75.75809937
division	COL/ANT/Medellin	5.87068345	-75.75809937
division	ISR/D/Eilat	31.985288	34.808144
division	Algeria	28.0000272	2.9999825
division	Argentina	-34.9964963	-64.9672817
division	ARG/B	-34.4708742	-58.6544118
division	ARG/B/San-Antonio-De-Areco	-34.4708742	-58.6544118
division	Australia	-24.7761086	134.755
division	Austria	47.2000338	13.199959
division	Bahrain	26.1551249	50.5344606
division	Bangladesh	24.4768783	90.2932426
division	China	35.000074	104.999927
division	Belgium	50.6402809	4.6667145
division	Bosnia and Herzegovina	44.3053476	17.5961467
division	Brazil	-10.3333333	-53.2
division	Romania	45.9852129	24.6859225
division	Bulgaria	42.6073975	25.4856617
division	Alberta	55.001251	-115.002136
division	British Columbia	55.001251	-125.002441
division	Ontario	50.000678	-86.000977
division	Quebec	52.4760892	-71.8258668
division	Chile	-31.7613365	-71.3187697
division	Colombia	2.8894434	-73.783892
division	Costa Rica	10.2735633	-84.0739102
division	Democratic Republic of the Congo	-2.9814344	23.8222636
division	Denmark	55.670249	10.3333283
division	Dominican Republic	19.0974031	-70.3028026
division	Ecuador	-1.3397668	-79.3666965
division	Egypt	26.2540493	29.2675469
division	England	52.7954791	-0.540240287
division	France	46.603354	1.8883335
division	Germany	51.0834196	10.4234469
division	Ghana	8.0300284	-1.0800271
division	Guatemala	15.6356088	-89.8988087
division	India	22.3511148	78.6677428
division	Indonesia	-2.4833826	117.8902853
division	Iran	32.6475314	54.5643516
division	Ireland	52.865196	-7.9794599
division	Israel	31.5313113	34.8667654
division	Italy	42.6384261	12.674297
division	Japan	36.5748441	139.2394179
division	Kazakhstan	47.2286086	65.2093197
division	Kenya	1.4419683	38.4313975
division	Kuwait	29.2733964	47.4979476
division	Malaysia	4.5693754	102.2656823
division	Mexico	19.4326296	-99.1331785
division	Morocco	31.1728205	-7.3362482
division	Netherlands	52.5001698	5.7480821
division	Nigeria	9.6000359	7.9999721
division	North Macedonia	41.6171214	21.7168387
division	Northern Ireland	54.6294982	-6.7654416
division	Norway	64.5731537	11.52803644
division	Oman	21.0000287	57.0036901
division	Pakistan	30.3308401	71.247499
division	Panama	8.559559	-81.1308434
division	Peru	-6.8699697	-75.0458515
division	Philippines	12.7503486	122.7312101
division	Poland	52.215933	19.134422
division	Portugal	40.0332629	-7.8896263
division	Qatar	25.3336984	51.2295295
division	Russia	64.6863136	97.7453061
division	Saudi Arabia	25.6242618	42.3528328
division	Scotland	56.7861112	-4.1140518
division	Senegal	14.4750607	-14.4529612
division	Serbia	44.02432285	21.07657433
division	Singapore	1.2904753	103.8520359
division	South Africa	-28.8166236	24.991639
division	South Korea	36.638392	127.6961188
division	Spain	39.3262345	-4.8380649
division	Sweden	59.6749712	14.5208584
division	Switzerland	46.7985624	8.2319736
division	Thailand	14.8971921	100.83273
division	Turkey	38.9597594	34.9249653
division	United States	39.7837304	-100.4458825
division	Ukraine	49.4871968	31.2718321
division	United Arab Emirates	24.0002488	53.9994829
division	Venezuela	8.0018709	-66.1109318
division	Wales	52.2928116	-3.73893
division	New Brunswick	46.500283	-66.750183
division	Nova Scotia	45.1960403	-63.1653789
division	NY	40.7642499	-73.9545249
division	CA	36.7014631	-118.7559973
division	CA/San-Fransisco	36.7014631	-118.7559973
division	CA/Sanbernardino	36.7014631	-118.7559973
division	CA/Contracosta	36.7014631	-118.7559973
division	TX	31.8160381	-99.5120985
division	TX/Montogmery	31.8160381	-99.5120985
division	AZ	34.395342	-111.7632754
division	SD	44.6471761	-100.3487609
division	ND	47.6201461	-100.5407369
division	CO	38.7251776	-105.6077166
division	MD	39.5162234	-76.9382068
division	MN	45.9896587	-94.6113287
division	MN/BigStone	45.9896587	-94.6113287
division	MN/Lacqui-Parle	45.9896587	-94.6113287
division	MN/CrowWing	45.9896587	-94.6113287
division	WI	44.4308975	-89.6884636
division	NJ	40.0757384	-74.4041621
division	CT	41.6500201	-72.7342162
division	AR	35.2048883	-92.4479107
division	MO	38.7604815	-92.5617874
division	IL	40.0796319	-89.4339808
division	PA	40.9699889	-77.727883
division	KY	37.5726028	-85.155141
division	MT	47.3752671	-109.6387578
division	IA	41.9216734	-93.3122704
division	AL	33.2588817	-86.8295336
division	VA	37.1232245	-78.492772
division	OK	34.9550817	-97.2684062
division	LA	30.8703881	-92.0071259
division	LA/Sttammany	30.8703881	-92.0071259
division	LA/Tangipahioa	30.8703881	-92.0071259
division	FL	27.7567667	-81.4639834
division	GA	32.3293809	-83.1137365
division	GA/Chattron	32.3293809	-83.1137365
division	GA/Lawnder	32.3293809	-83.1137365
division	NV	39.5158825	-116.8537226
division	UT	39.4225192	-111.7143583
division	NM	34.5708167	-105.9930069
division	MS	32.9715645	-89.7348496
division	IN	40.3270127	-86.1746932
division	OH	40.2253569	-82.6881394
division	MI	43.6211955	-84.6824345
division	WY	42.83	-107.48
division	TN	35.84	-86.85
division	KS	38.65	-98.38
division	MA	42.34	-72.11
division	NC	35.58	-80.1
division	ID	43.93	-114.24
division	WA	47.6	-122.33
division	DC	38.912708	-77.009223
division	NE	43.6211955	-84.6824345
division	OR	44	-120.5
division	NH	44	-71.5
division	US-VI	17.789187	-64.7080574
division	CAN/QC	45.508889	-73.561667
division	CAN/QC/Villeray-St-Michel	45.508889	-73.561667
division	CAN/QC/Cote-St-Luc-Hamstead	45.508889	-73.561667
division	CAN/QC/Saint-Bruno	45.508889	-73.561667
division	CAN/QC/Mirabel	45.508889	-73.561667
division	CAN/QC/Sainte-Anne-Des-Plaines	45.508889	-73.561667
division	CAN/QC/St-Jean-Sur-Richelieu	45.508889	-73.561667
division	CAN/QC/Laval	45.508889	-73.561667
division	CAN/QC/Boucherville	45.508889	-73.561667
division	CAN/QC/Cote-St-Luc_Hamstead	45.508889	-73.561667
division	CAN/QC/Varennes	45.508889	-73.561667
division	CAN/QC/Dorval	45.508889	-73.561667
division	CAN/QC/Sainte-Julie	45.508889	-73.561667
division	CAN/QC/Villeray	45.508889	-73.561667
division	CAN/QC/Saint-Lambert	45.508889	-73.561667
division	CAN/QC/Montréal	45.508889	-73.561667
division	CAN/QC/Longueuil	45.508889	-73.561667
division	CAN/QC/Blainville	45.508889	-73.561667
division	CAN/QC/Pointe-Claire	45.508889	-73.561667
division	CAN/QC/Saint-Hyacinthe	45.508889	-73.561667
division	CAN/QC/Rosemont	45.508889	-73.561667
division	CAN/QC/Chateauguay	45.508889	-73.561667
division	MI/Isabella	43.6306545	-84.8468516
division	NY/Schenectady	42.8142432	-73.9395687
division	NY/Orange	41.3873306	-74.2507287
division	NY/Steuben	42.2359045	-77.3750862
division	NY/Cayuga	42.8093409	-76.5700777
division	CT/New-Haven	41.3082138	-72.9250518
division	NY/Onondaga	43.015598	-76.2257127
division	NY/Lewis	43.7344277	-75.440289
division	CT/Fairfield	41.1412078	-73.2637258
division	MI/Lapeer	43.0904764	-83.2333705
division	NY/Wyoming	42.7039813	-78.2415228
division	NY/Columbia	40.7950452	-73.9722207
division	OH/Knox	40.4467896	-82.4056302
division	NY/Chautauqua	42.2894671	-79.421728
division	CT/New-London	41.3556187	-72.0997804
division	AL/Calhoun	33.7514505	-85.8315666
division	NY/Broome	42.1455623	-75.8404114
division	NY/Rockland	41.1519319	-74.0357266
division	NY/Queens	40.7498243	-73.7976337
division	NY/Putnam	41.426996	-73.760156
division	NY/Suffolk	40.8832318	-72.8578027
division	TX/Harris	29.8119769	-95.3741247
division	NY/Westchester	41.1763139	-73.7907554
division	NY/Washington	43.2294536	-73.4471343
division	NY/Essex	44.0638879	-73.7542043
division	NY/Saratoga	41.3149011	-74.12503521
division	NY/Oswego	43.4112973	-76.1279841
division	NY/Jefferson	44.059311	-75.9995742
division	NY/Greene	42.3292408	-75.7699147
division	NY/Dutchess	41.7194303	-73.7516205
division	NY/Chemung	42.1384667	-76.7725493
division	CT/Hartford	41.764582	-72.6908547
division	MI/Lenawee	41.8735258	-84.0624323
division	NY/Niagara	41.31637245	-74.1302653
division	NY/Tompkins	42.443114	-76.47259209
division	CT/Middlesex	41.4510811	-72.5528113
division	NY/Albany	42.6511674	-73.754968
division	WI/Milwaukee	43.0349931	-87.922497
division	LA/Iberia	29.9812242	-91.7451362
division	OH/Montgomery	39.6837328	-84.2854817
division	TX/Concho	31.3102947	-99.8507578
division	OH/Medina	41.1000764	-81.9382517
division	NY/Warren	42.8472949	-74.9209865
division	MO/Holt	40.0989571	-95.2134565
division	NY/Monroe	43.150094	-77.6810141
