"","intro_node_num","fst_sample_date","last_sample_date","intro_label","inferred_trap","intro_inferred_date","inferred_zone","intro_trap_1","intro_trap_2","intro_zone_1","intro_zone_2","zone_match","n","foco_n","inferred_duration","sample_duration","intro","intro_year","intro_month","intro_month0","inferred_persistence","persistence"
"1",372,2013-08-06,2013-08-06,"CSU4931/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-088GR",2013-08-06,"CO/FC/SE","FC-075GR",NA,"CO/FC/SE",NA,TRUE,1,1,0,0,1,2013,"8",1,"short","short"
"2",399,2014-08-07,2014-08-07,"CSU6607/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-031",2014-08-07,"CO/FC/SE","FC-029GR",NA,"CO/FC/SE",NA,TRUE,1,1,0,0,2,2014,"8",1,"short","short"
"3",513,2016-08-16,2016-08-16,"CSU9880/2016/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-029",2016-08-16,"CO/FC/SE","FC-027",NA,"CO/FC/SE",NA,TRUE,1,1,0,0,3,2016,"8",1,"short","short"
"4",542,2016-08-22,2016-08-22,"CSU9952/2016/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","LV-080",2016-08-22,"CO/LV/LV","LV-079GR",NA,"CO/LV/LV",NA,TRUE,1,1,0,0,4,2016,"8",1,"short","short"
"5",2152,2017-08-01,2017-08-01,"CSU11071/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-089GR",2017-08-01,"CO/FC/SW","FC-088GR",NA,"CO/FC/SE",NA,FALSE,1,1,0,0,5,2017,"8",1,"short","short"
"6",2179,2015-09-16,2015-09-16,"CSU8858/2015/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-031",2015-09-16,"CO/FC/SE","FC-029GR",NA,"CO/FC/SE",NA,TRUE,1,1,0,0,6,2015,"9",2,"short","short"
"7",2242,2017-07-11,2017-07-11,"CSU10610/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-054",2017-07-11,"CO/FC/SE","FC-053",NA,"CO/FC/SE",NA,TRUE,1,1,0,0,7,2017,"7",0,"short","short"
"8",2247,2014-08-18,2014-08-18,"CSU6892/2014/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","FC-011",2014-08-18,"CO/FC/NW","FC-006",NA,"CO/FC/NE",NA,FALSE,1,1,0,0,8,2014,"8",1,"short","short"
"9",2256,2017-08-03,2017-08-03,"CSU11116/2017/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","FC-004",2017-08-03,"CO/FC/SE","FC-001",NA,"CO/FC/SW",NA,FALSE,1,1,0,0,9,2017,"8",1,"short","short"
"10",2400,2014-08-12,2014-08-12,"CSU6732/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-027",2014-08-12,"CO/FC/SE","FC-023",NA,"CO/FC/SE",NA,TRUE,1,1,0,0,10,2014,"8",1,"short","short"
"11",2468,2015-08-06,2015-08-06,"CSU8278/2015/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","FC-090GR",2015-08-06,"CO/FC/NW","FC-089GR",NA,"CO/FC/SW",NA,FALSE,1,1,0,0,11,2015,"8",1,"short","short"
"12",2474,2015-08-05,2015-08-05,"CSU8256/2015/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex","FC-064",2015-08-05,"CO/FC/SE","FC-063GR",NA,"CO/FC/NW",NA,FALSE,1,1,0,0,12,2015,"8",1,"short","short"
"13",2481,2015-08-25,2015-08-25,"CSU8564/2015/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-089GR",2015-08-25,"CO/FC/SW","FC-088GR",NA,"CO/FC/SE",NA,FALSE,1,1,0,0,13,2015,"8",1,"short","short"
"14",2614,2015-08-26,2015-08-26,"CSU8595/2015/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex","FC-091GR",2015-08-26,"CO/FC/NE","FC-090GR",NA,"CO/FC/NW",NA,FALSE,1,1,0,0,14,2015,"8",1,"short","short"
"15",2670,2014-07-21,2014-07-21,"CSU5952/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-006",2014-07-21,"CO/FC/NE","FC-004",NA,"CO/FC/SE",NA,FALSE,1,1,0,0,15,2014,"7",0,"short","short"
"16",2672,2014-08-13,2014-08-13,"CSU6752/2014/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex","FC-064",2014-08-13,"CO/FC/SE","FC-063GR",NA,"CO/FC/NW",NA,FALSE,1,1,0,0,16,2014,"8",1,"short","short"
"17",2680,2021-08-01,2021-08-01,"CSU16535/2021/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","FC-066GR",2021-08-01,"CO/FC/NE","FC-066",NA,"CO/FC/NE",NA,TRUE,1,1,0,0,17,2021,"8",1,"short","short"
"18",2685,2013-07-25,2013-07-25,"CSU4701/2013/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","FC-069",2013-07-25,"CO/FC/NE","FC-068",NA,"CO/FC/SW",NA,FALSE,1,1,0,0,18,2013,"7",0,"short","short"
"19",2687,2017-07-12,2017-07-12,"CSU10672/2017/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex","LC-054",2017-07-12,"CO/BE/LC","LC-053",NA,"CO/BE/LC",NA,TRUE,1,1,0,0,19,2017,"7",0,"short","short"
"20",2699,2016-08-10,2016-08-10,"CSU9762/2016/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-089GR",2016-08-10,"CO/FC/SW","FC-088GR",NA,"CO/FC/SE",NA,FALSE,1,1,0,0,20,2016,"8",1,"short","short"
"21",2713,2013-08-15,2013-08-15,"CSU5162/2013/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","FL/Hillsborough",2013-08-15,"FL/Hillsborough","FC-093",NA,"CO/FC/SW",NA,FALSE,1,1,0,0,21,2013,"8",1,"short","short"
