geo	value	lat	long	zone
country	Argentina	-34.9964963	-64.9672817	NA
country	Brazil	-10.3333333	-53.2	NA
country	British Virgin Islands	18.4024395	-64.5661642	NA
country	Canada	61.0666922	-107.9917071	NA
country	Colombia	2.8894434	-73.783892	NA
country	Israel	31.5313113	34.8667654	NA
country	Mexico	19.4326296	-99.1331785	NA
country	US-Virgin-Islands	18.4024395	-64.5661642	NA
country	USA	39.7837304	-100.4458825	NA
division	AL	33.2588817	-86.8295337	NA
division	AR/Saline	34.6021249	-92.6542869	NA
division	AR/Sebastian	35.1770785	-94.2654285	NA
division	AR/Union	33.1637366	-92.6171029	NA
division	AR/Unknown	35.2048883	-92.4479108	NA
division	ARG/B	-34.4708742	-58.6544118	NA
division	AZ/Apache	35.214632	-109.4786676	NA
division	AZ/Cochise	31.8514532	-109.8181858	NA
division	AZ/Coconino	35.9363252	-111.6948197	NA
division	AZ/Maricopa	33.34883	-112.49123	NA
division	AZ/Maricopoa	33.34883	-112.49123	NA
division	AZ/Pima	32.1112624	-111.6546163	NA
division	AZ/Unknown	34.395342	-111.7632755	NA
division	AZ/Yavapai	34.5668857	-112.5515965	NA
division	BRA/ES/Joao_Neiva	-10.3333333	-53.2	NA
division	BRA/ES/Sao_Mateus	-10.3333333	-53.2	NA
division	CA/Alameda	37.6090291	-121.899142	NA
division	CA/Butte	39.6519275	-121.5858444	NA
division	CA/Calaveras	38.2558181	-120.4981492	NA
division	CA/Contra_Costa	36.7014631	-118.7559974	NA
division	CA/Contracosta	36.7014631	-118.7559973	NA
division	CA/Fresno	36.7394421	-119.7848307	NA
division	CA/Glenn	39.5912766	-122.3778662	NA
division	CA/Imperial	33.0305487	-115.3595666	NA
division	CA/Inyo	36.5595325	-117.4074712	NA
division	CA/Kern	35.3145701	-118.7538222	NA
division	CA/Kings	36.0784807	-119.7956342	NA
division	CA/Lake	39.0505411	-122.7776556	NA
division	CA/Lassen	40.7685579	-120.730998	NA
division	CA/Los_Angeles	36.7014631	-118.7559974	NA
division	CA/Losangeles	34.0802852	-118.3617435	NA
division	CA/Madera	36.9622745	-120.0594685	NA
division	CA/Merced	37.1641544	-120.7678602	NA
division	CA/Orange	33.7500378	-117.8704931	NA
division	CA/Placer	39.1012064	-120.7650606	NA
division	CA/Riverside	33.9533546	-117.3961623	NA
division	CA/Sacramento	38.5815719	-121.4943996	NA
division	CA/San_Bernardino	36.7014631	-118.7559974	NA
division	CA/San_Diego	36.7014631	-118.7559974	NA
division	CA/San_Fransisco	36.7014631	-118.7559974	NA
division	CA/San_Joaquin	36.7014631	-118.7559974	NA
division	CA/Sanbernardino	36.7014631	-118.7559973	NA
division	CA/Shasta	40.7965121	-121.9979194	NA
division	CA/Solano	38.2218938	-121.9163555	NA
division	CA/Stanislaus	37.5500871	-121.0501425	NA
division	CA/Sutter	38.9509675	-121.697088	NA
division	CA/Tulare	36.2516475	-118.852583	NA
division	CA/Unknown	36.7014631	-118.7559974	NA
division	CA/Ventura	34.4458248	-119.0779359	NA
division	CA/Yolo	38.7184542	-121.9059001	NA
division	CA/Yuba	39.2839755	-121.3556818	NA
division	CAN/QC	45.508889	-73.561667	NA
division	CO/BE	38.7251776	-105.6077167	NA
division	CO/Boulder	40.01425075	-105.2532884	NA
division	CO/FC	38.7251776	-105.6077167	NA
division	CO/LV	38.7251776	-105.6077167	NA
division	CO/Mesa	39.0589084	-108.565996	NA
division	CO/Park	39.1089299	-105.7561639	NA
division	CO/Weld	40.5632344	-104.4835287	NA
division	COL/ANT/Medellin	5.87068345	-75.75809937	NA
division	CT	41.6500201	-72.7342163	NA
division	DC/District_Of_Columbia	38.912708	-77.009223	NA
division	FL/Hillsborough	27.9184543	-82.3488057	NA
division	FL/Indian_River	27.7567667	-81.4639835	NA
division	FL/Palm_Beach	27.7567667	-81.4639835	NA
division	FL/Seminole	28.7225829	-81.2353683	NA
division	FL/Sumter	28.6689748	-82.076402	NA
division	GA	32.3293809	-83.1137366	NA
division	IA/Kossuth	43.1825351	-94.209098	NA
division	IA/Unknown	41.9216734	-93.3122705	NA
division	ID/Unknown	43.6447642	-114.0154071	NA
division	IL/Cook	41.8197385	-87.756525	NA
division	IL/Dupage	41.8603735	-88.0906873	NA
division	IL/Unknown	40.0796606	-89.4337288	NA
division	IL/Will	41.4194058	-87.9994754	NA
division	IN/Hendricks	39.7565309	-86.5173641	NA
division	ISR/D/Eilat	31.985288	34.808144	NA
division	KS/Unknown	38.27312	-98.5821872	NA
division	KY/Boone	37.5175837	-84.316601	NA
division	KY/Unknown	37.5726028	-85.1551411	NA
division	LA	30.8703881	-92.007126	NA
division	MA/Unknown	42.3788774	-72.032366	NA
division	MD	39.5162234	-76.9382069	NA
division	MEX/BCN/Unknown	19.4326296	-99.1331785	NA
division	MEX/CHH/Ciudad_Juarez	19.4326296	-99.1331785	NA
division	MEX/SON/Unknown	19.4326296	-99.1331785	NA
division	MEX/TAM/Unknown	19.4326296	-99.1331785	NA
division	MI	39.7837304	-100.4458825	NA
division	MN	45.9896587	-94.6113288	NA
division	MO/Holt	40.0989571	-95.2134565	NA
division	MO/Saint_Louis	38.7604815	-92.5617875	NA
division	MO/Unknown	38.7604815	-92.5617875	NA
division	MS/Adams	31.4904433	-91.3297733	NA
division	MS/Unknown	32.9715645	-89.7348497	NA
division	MT/Flathead	48.3840879	-113.972144	NA
division	MT/Phillips	48.4777441	-113.5251043	NA
division	MT/Sheridan	48.7625919	-104.5154683	NA
division	MT/Unknown	47.3752671	-109.6387579	NA
division	NC/Unknown	35.6729639	-79.0392919	NA
division	ND/Burleigh	46.9498874	-100.5127667	NA
division	ND/Grand_Forks	47.6201461	-100.540737	NA
division	ND/Logan	46.4650338	-99.4501721	NA
division	ND/Mclean	47.6002156	-101.1719782	NA
division	ND/Morton	46.7244733	-101.1644543	NA
division	ND/Mountrail	48.230321	-102.3603325	NA
division	ND/Sargent	46.1101793	-97.6291809	NA
division	ND/Stutsman	46.9596318	-98.9742609	NA
division	NE/Douglas	41.2954112	-96.1415672	NA
division	NE/Dundy	40.1849874	-101.6959427	NA
division	NE/Knox	42.6206698	-97.8901445	NA
division	NE/Unknown	41.7370229	-99.5873816	NA
division	NH/Cheshire	42.9525022	-72.2834412	NA
division	NH/Hillsborough	43.1470788	-71.94574348	NA
division	NH/Rockingham	42.9966675	-71.1003143	NA
division	NH/Strafford	43.3312505	-71.0399927	NA
division	NJ/Bergen	40.7292686	-74.0656969	NA
division	NJ/Mercer	40.2807177	-74.7033717	NA
division	NJ/Middlesex	40.5734911	-74.494037	NA
division	NJ/Ocean	40.8472234	-74.0322823	NA
division	NJ/Union	40.6976019	-74.2632024	NA
division	NJ/Unknown	40.0757384	-74.4041622	NA
division	NM/Bernalillo	35.0349239	-106.6870693	NA
division	NM/Dona_Ana	34.5708167	-105.993007	NA
division	NM/Socorro	34.0572858	-106.8930799	NA
division	NM/Unknown	34.5708167	-105.993007	NA
division	NV/Churchill	39.6136309	-118.4191948	NA
division	NV/Pershing	40.3913722	-118.4778996	NA
division	NV/Unknown	39.5158825	-116.8537227	NA
division	NY	43.1561681	-75.8449946	NA
division	OH	40.2253569	-82.6881395	NA
division	OK/Payne	36.0721527	-96.9456522	NA
division	OK/Unknown	34.9550817	-97.2684063	NA
division	OR/Benton	42.474695	-121.383188	NA
division	OR/Jackson	45.40871195	-122.7235481	NA
division	OR/Josephine	42.4689439	-121.3873089	NA
division	OR/Klamath	44.1630023	-120.8157924	NA
division	OR/Malheur	42.9756509	-117.0648312	NA
division	OR/Morrow	45.360901	-119.6052459	NA
division	OR/Umatilla	45.9173549	-119.3425179	NA
division	PA/Bucks	40.3451668	-75.1263909	NA
division	PA/Philadelphia	39.9527237	-75.1635262	NA
division	PA/Unknown	40.9699889	-77.7278831	NA
