"geo","x","col"
"country","USA","#FFFFCC"
"country","Egypt","#E7298A"
"country","Romania","#F781BF"
"country","Israel","#CCCCCC"
"country","Portugal","#DECBE4"
"country","Kenya","#E6AB02"
"country","France","#66A61E"
"country","Tunisia","#E5D8BD"
"country","Russia","#FBB4AE"
"country","Uganda","#FB8072"
"country","Morocco","#7570B3"
"country","Mexico","#FFFFB3"
"country","Hungary","#BF5B17"
"country","Madagascar","#999999"
"country","India","#6A3D9A"
"country","Senegal","#1F78B4"
"country","Central African Republic","#CCEBC5"
"country","South Africa","#A6D854"
"country","Italy","#80B1D3"
"country","Spain","#FFFF99"
"country","Argentina","#FFFF33"
"country","Australia","#4DAF4A"
"country","Nigeria","#E6F5C9"
"country","Cyprus","#FDCDAC"
"country","Democratic Republic of the Congo","#FCCDE5"
"country","Greece","#7FC97F"
"country","Colombia","#BC80BD"
"country","Azerbaijan","#386CB0"
"country","Ukraine","#B3CDE3"
"country","China","#FFD92F"
"country","Serbia","#FFF2AE"
"country","Austria","#BEAED4"
"country","British Virgin Islands","#D9D9D9"
"country","Turkey","#CAB2D6"
"country","Czech Republic","#A6761D"
"country","Bulgaria","#CCEBC5"
"country","United Arab Emirates","#B3B3B3"
"country","Zambia","#F0027F"
"country","Germany","#666666"
"country","Belgium","#66C2A5"
"country","Slovakia","#FF7F00"
"country","Brazil","#FF7F00"
"country","Canada","#B15928"
"country","Slovenia","#377EB8"
"country","Niger","#E41A1C"
"country","Iran","#FFFF99"
"country","Netherlands","#666666"
"country","Namibia","#FED9A6"
"region","USA_unknown","#FFFFCC"
"region","USA_NY","#FFFFCC"
"region","USA_CO","#FFFFCC"
"region","USA_AZ","#FFFFCC"
"region","USA_NV","#FFFFCC"
"region","USA_Colorado","#FFFFCC"
"region","USA_ID","#FFFFCC"
"region","USA_Connecticut","#FFFFCC"
"region","USA_TX","#FFFFCC"
"region","USA_Illinois","#FFFFCC"
"region","USA_Texas","#FFFFCC"
"region","USA_California","#FFFFCC"
"region","USA_New York","#FFFFCC"
"region","USA_VA","#FFFFCC"
"region","USA_North Dakota","#FFFFCC"
"region","USA_GA","#FFFFCC"
"region","USA_MS","#FFFFCC"
"region","USA_WY","#FFFFCC"
