"strain","accession","date","year","country","state","CO","division","zone","trap","lineage","sublineage","host"
"BOU00025/2021/USA/CO/Boulder/unknown/unknown/Mosquito-Culex","BOU00025",2021-07-12,2021,"USA","CO","Boulder","CO/Boulder","CO/Boulder","CO/Boulder","unknown","unknown","Mosquito-Culex"
"BOU00038/2021/USA/CO/Boulder/unknown/unknown/Mosquito-Culex","BOU00038",2021-08-02,2021,"USA","CO","Boulder","CO/Boulder","CO/Boulder","CO/Boulder","unknown","unknown","Mosquito-Culex"
"GQ379160/2006/Argentina/ARG/B/San_Antonio_De_Areco/NY99/unknown/Horse","GQ379160",2006-02-28,2006,"Argentina","ARG/B","Not CO","ARG/B","ARG/B","ARG/B","NY99","unknown","Horse"
"MH643887/2018/Brazil/BRA/ES/Sao_Mateus/NY99/unknown/Horse","MH643887",2018-04-26,2018,"Brazil","BRA/ES","Not CO","BRA/ES/Sao_Mateus","BRA/ES/Sao_Mateus","BRA/ES/Sao_Mateus","NY99","unknown","Horse"
"KF367469/2013/British Virgin Islands/VGB/Unknown/WN02/unknown/Bird-other","KF367469",2013-03-30,2013,"British Virgin Islands","VGB","Not CO","VGB/Unknown","VGB/Unknown","VGB/Unknown","WN02","unknown","Bird-other"
"MH819446/2015/Canada/CAN/QC/Montr_al/WN02/unknown/Mosquito-Culex","MH819446",2015-10-06,2015,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819447/2013/Canada/CAN/QC/Chateauguay/WN02/unknown/Mosquito-Culex","MH819447",2013-08-26,2013,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819448/2005/Canada/CAN/QC/Villeray_St_Michel/WN02/unknown/Mosquito-Culex","MH819448",2005-08-31,2005,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819449/2014/Canada/CAN/QC/Montr_al/WN02/unknown/Mosquito-Culex","MH819449",2014-09-22,2014,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819450/2016/Canada/CAN/QC/Laval/WN02/unknown/Mosquito-Culex","MH819450",2016-08-16,2016,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819451/2005/Canada/CAN/QC/Dorval/WN02/unknown/Mosquito-Culex","MH819451",2005-08-12,2005,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819452/2015/Canada/CAN/QC/Sainte_Julie/WN02/unknown/Mosquito-Culex","MH819452",2015-09-15,2015,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819453/2016/Canada/CAN/QC/Saint_Lambert/WN02/unknown/Mosquito-Culex","MH819453",2016-08-09,2016,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819454/2006/Canada/CAN/QC/Rosemont/WN02/unknown/Mosquito-Culex","MH819454",2006-08-29,2006,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819455/2006/Canada/CAN/QC/Mirabel/WN02/unknown/Mosquito-Culex","MH819455",2006-08-30,2006,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819456/2013/Canada/CAN/QC/Longueuil/WN02/unknown/Mosquito-Culex","MH819456",2013-09-09,2013,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819457/2005/Canada/CAN/QC/Sainte_Anne_Des_Plaines/WN02/unknown/Mosquito-Culex","MH819457",2005-08-19,2005,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819458/2005/Canada/CAN/QC/Blainville/WN02/unknown/Mosquito-Culex","MH819458",2005-08-25,2005,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819459/2014/Canada/CAN/QC/Longueuil/WN02/unknown/Mosquito-Culex","MH819459",2014-09-04,2014,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819460/2013/Canada/CAN/QC/Montr_al/WN02/unknown/Mosquito-Culex","MH819460",2013-08-19,2013,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819461/2004/Canada/CAN/QC/Varennes/WN02/unknown/Mosquito-Culex","MH819461",2004-09-07,2004,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819462/2015/Canada/CAN/QC/Boucherville/WN02/unknown/Mosquito-Culex","MH819462",2015-09-09,2015,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819463/2014/Canada/CAN/QC/Montr_al/WN02/unknown/Mosquito-Culex","MH819463",2014-08-21,2014,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819464/2004/Canada/CAN/QC/St_Jean_Sur_Richelieu/WN02/unknown/Mosquito-Culex","MH819464",2004-09-15,2004,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819465/2015/Canada/CAN/QC/Saint_Bruno/WN02/unknown/Mosquito-Culex","MH819465",2015-09-09,2015,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819466/2016/Canada/CAN/QC/Montr_al/WN02/unknown/Mosquito-Culex","MH819466",2016-08-16,2016,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819467/2013/Canada/CAN/QC/Pointe_Claire/WN02/unknown/Mosquito-Culex","MH819467",2013-08-19,2013,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819468/2004/Canada/CAN/QC/Saint_Hyacinthe/WN02/unknown/Mosquito-Culex","MH819468",2004-08-08,2004,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
