strain	accession	date	year_grp	country	continent	lineage	host	host_genus	region
AF196835/USA_NewYork/1999/1a/bird	AF196835	1999-09-15	<2000	USA	North America	1a	bird	unknown	USA_New York
AF202541/USA_NewYork/1999/1a/human	AF202541	1999-08-28	<2000	USA	North America	1a	human	Homo	USA_New York
AF260968/Egypt_unknown/1951/1a/unknown	AF260968	1951-06-01	<2000	Egypt	Africa	1a	unknown	unknown	Egypt_unknown
AF260969/Romania_Bucharest/1996/1a/mosquito	AF260969	1996-06-01	<2000	Romania	Europe	1a	mosquito	Culex	Romania_Bucharest
AF481864/Israel_unknown/1998/1a/bird	AF481864	1998-08-28	<2000	Israel	Asia	1a	bird	Ciconiidae	Israel_unknown
AJ965626/Portugal_Guia/2004/1a/mosquito	AJ965626	2004-06-01	2001-2010	Portugal	Europe	1a	mosquito	culex	Portugal_Guia
AJ965628/Portugal_Guia/2004/1a/mosquito	AJ965628	2004-06-01	2001-2010	Portugal	Europe	1a	mosquito	culex	Portugal_Guia
AM404308/Portugal_Alentejo/1969/1a/mosquito	AM404308	1969-06-01	<2000	Portugal	Europe	1a	mosquito	culex	Portugal_Alentejo
AY262283/Kenya_unknown/1998/1a/mosquito	AY262283	1998-06-01	<2000	Kenya	Africa	1a	mosquito	Culex	Kenya_unknown
AY268132/France_Arles/2000/1a/ungulate	AY268132	2000-06-01	<2000	France	Europe	1a	ungulate	unknown	France_Arles
AY268133/Tunisia_unknown/1997/1a/human	AY268133	1997-06-01	<2000	Tunisia	Africa	1a	human	Homo	Tunisia_unknown
AY278442/Russia_Volgograd/2000/1a/human	AY278442	2000-06-01	<2000	Russia	Europe	1a	human	Homo	Russia_Volgograd
AY532665/Uganda_unknown/1937/2/human	AY532665	1937-06-01	<2000	Uganda	Africa	2	human	Homo	Uganda_unknown
AY701412/Morocco_Kenitra/1996/1a/ungulate	AY701412	1996-06-01	<2000	Morocco	Africa	1a	ungulate	Equus	Morocco_Kenitra
AY701413/Morocco_Kenitra/2003/1a/ungulate	AY701413	2003-06-01	2001-2010	Morocco	Africa	1a	ungulate	Equus	Morocco_Kenitra
DQ080060/Mexico_BajaCalforniaNorte/2004/1a/bird	DQ080060	2004-08-01	2001-2010	Mexico	North America	1a	bird	Corvus	Mexico_Baja Calfornia Norte
DQ080063/Mexico_BajaCalforniaNorte/2003/1a/bird	DQ080063	2003-08-01	2001-2010	Mexico	North America	1a	bird	Columbidae	Mexico_Baja Calfornia Norte
DQ080064/Mexico_BajaCalforniaNorte/2003/1a/bird	DQ080064	2003-08-01	2001-2010	Mexico	North America	1a	bird	Fulica	Mexico_Baja Calfornia Norte
DQ080065/Mexico_BajaCalforniaNorte/2003/1a/bird	DQ080065	2003-08-01	2001-2010	Mexico	North America	1a	bird	Quiscalus	Mexico_Baja Calfornia Norte
DQ080066/Mexico_BajaCalforniaNorte/2003/1a/bird	DQ080066	2003-08-01	2001-2010	Mexico	North America	1a	bird	Phalacrocoracidae	Mexico_Baja Calfornia Norte
DQ080067/Mexico_BajaCalforniaNorte/2003/1a/bird	DQ080067	2003-08-01	2001-2010	Mexico	North America	1a	bird	Butorides	Mexico_Baja Calfornia Norte
DQ080068/Mexico_BajaCalforniaNorte/2003/1a/bird	DQ080068	2003-08-01	2001-2010	Mexico	North America	1a	bird	unknown	Mexico_Baja Calfornia Norte
DQ080069/Mexico_Tamaulipas/2003/1a/ungulate	DQ080069	2003-08-01	2001-2010	Mexico	North America	1a	ungulate	Equus	Mexico_Tamaulipas
DQ080070/Mexico_Sonora/2003/1a/bird	DQ080070	2003-08-01	2001-2010	Mexico	North America	1a	bird	Quiscalus	Mexico_Sonora
DQ080071/Mexico_Florida/2002/1a/ungulate	DQ080071	2002-08-01	2001-2010	Mexico	North America	1a	ungulate	Equus	Mexico_Florida
DQ116961/Hungary_Biharugra/2004/2/bird	DQ116961	2004-06-01	2001-2010	Hungary	Europe	2	bird	Accipiter	Hungary_Biharugra
DQ118127/Hungary_unknown/2003/1a/bird	DQ118127	2003-06-01	2001-2010	Hungary	Europe	1a	bird	Anatidae	Hungary_unknown
DQ164186/USA_NY/2002/1a/bird	DQ164186	2002-06-01	2001-2010	USA	North America	1a	bird	Corvus	USA_NY
DQ164192/USA_NY/2003/1a/bird	DQ164192	2003-06-01	2001-2010	USA	North America	1a	bird	Corvus	USA_NY
DQ164193/USA_NY/2002/1a/bird	DQ164193	2002-06-01	2001-2010	USA	North America	1a	bird	Corvus	USA_NY
DQ164197/USA_GA/2002/1a/human	DQ164197	2002-06-01	2001-2010	USA	North America	1a	human	Homo	USA_GA
DQ176636/Madagascar_unknown/1978/2/bird	DQ176636	1978-06-01	<2000	Madagascar	Africa	2	bird	Coracopsis	Madagascar_unknown
DQ176637/USA_Texas/2002/1a/bird	DQ176637	2002-08-01	2001-2010	USA	North America	1a	bird	Quiscalus	USA_Texas
DQ256376/India_unknown/1980/1c_5/human	DQ256376	1980-06-01	<2000	India	Asia	1c_5	human	Homo	India_unknown
DQ318019/Senegal_unknown/1988/2/mosquito	DQ318019	1988-06-01	<2000	Senegal	Africa	2	mosquito	culex	Senegal_unknown
DQ318020/CentralAfricanRepublic_unknown/1972/2/human	DQ318020	1972-06-01	<2000	Central African Republic	Africa	2	human	Homo	Central African Republic_unknown
DQ374652/Russia_unknown/2004/1a/bird	DQ374652	2004-06-01	2001-2010	Russia	Europe	1a	bird	Corvus	Russia_unknown
DQ374653/Russia_unknown/2002/1a/bird	DQ374653	2002-06-01	2001-2010	Russia	Europe	1a	bird	Corvus	Russia_unknown
DQ377179/Russia_unknown/2002/1a/bird	DQ377179	2002-06-01	2001-2010	Russia	Europe	1a	bird	Corvus	Russia_unknown
DQ411031/Russia_unknown/2001/1a/bird	DQ411031	2001-06-01	2001-2010	Russia	Europe	1a	bird	Corvus	Russia_unknown
DQ411032/Russia_unknown/2002/1a/bird	DQ411032	2002-06-01	2001-2010	Russia	Europe	1a	bird	Columba	Russia_unknown
DQ411034/Russia_unknown/2002/1a/mosquito	DQ411034	2002-06-01	2001-2010	Russia	Europe	1a	mosquito	Anopheles	Russia_unknown
DQ411035/Russia_unknown/2002/1a/mosquito	DQ411035	2002-06-01	2001-2010	Russia	Europe	1a	mosquito	Anopheles	Russia_unknown
DQ431694/USA_Texas/2003/1a/human	DQ431694	2003-06-01	2001-2010	USA	North America	1a	human	Homo	USA_Texas
DQ431696/USA_Wisconsin/2003/1a/human	DQ431696	2003-06-01	2001-2010	USA	North America	1a	human	Homo	USA_Wisconsin
DQ431704/USA_Colorado/2004/1a/human	DQ431704	2004-06-01	2001-2010	USA	North America	1a	human	Homo	USA_Colorado
DQ431705/USA_NorthDakota/2004/1a/human	DQ431705	2004-06-01	2001-2010	USA	North America	1a	human	Homo	USA_North Dakota
DQ431708/USA_California/2004/1a/human	DQ431708	2004-06-01	2001-2010	USA	North America	1a	human	Homo	USA_California
DQ666451/USA_unknown/2005/1a/human	DQ666451	2005-08-01	2001-2010	USA	North America	1a	human	Homo	USA_unknown
DQ786572/France_Arles/2004/1a/bird	DQ786572	2004-10-18	2001-2010	France	Europe	1a	bird	Passer	France_Arles
DQ786573/France_Arles/2004/1a/bird	DQ786573	2004-10-21	2001-2010	France	Europe	1a	bird	Pica	France_Arles
EF429197/SouthAfrica_unknown/1989/2/human	EF429197	1989-06-01	<2000	South Africa	Africa	2	human	Homo	South Africa_unknown
EF429198/SouthAfrica_unknown/2001/2/human	EF429198	2001-06-01	2001-2010	South Africa	Africa	2	human	Homo	South Africa_unknown
EF429199/SouthAfrica_unknown/2000/2/human	EF429199	2000-06-01	<2000	South Africa	Africa	2	human	Homo	South Africa_unknown
EF429200/SouthAfrica_unknown/1958/2/human	EF429200	1958-06-01	<2000	South Africa	Africa	2	human	Homo	South Africa_unknown
EU082200/Senegal_unknown/1968/7_koutango/unknown	EU082200	1968-06-01	<2000	Senegal	Africa	7_koutango	unknown	unknown	Senegal_unknown
FJ159130/Russia_Volgograd/2005/4/mosquito	FJ159130	2005-06-01	2001-2010	Russia	Europe	4	mosquito	Uranotaenia	Russia_Volgograd
FJ159131/Russia_Volgograd/2005/4/mosquito	FJ159131	2005-06-01	2001-2010	Russia	Europe	4	mosquito	Uranotaenia	Russia_Volgograd
FJ425721/Russia_Volgograd/2007/2/human	FJ425721	2007-06-01	2001-2010	Russia	Europe	2	human	Homo	Russia_Volgograd
FJ483548/Italy_Bologna/2008/1a/bird	FJ483548	2008-06-01	2001-2010	Italy	Europe	1a	bird	Corvus	Italy_Bologna
FJ483549/Italy_Bologna/2008/1a/bird	FJ483549	2008-06-01	2001-2010	Italy	Europe	1a	bird	Corvus	Italy_Bologna
FJ766331/Spain_Toledo/2007/1a/bird	FJ766331	2007-10-01	2001-2010	Spain	Europe	1a	bird	Aquila	Spain_Toledo
FJ766332/Spain_Toledo/2007/1a/bird	FJ766332	2007-10-01	2001-2010	Spain	Europe	1a	bird	Aquila	Spain_Toledo
GQ379160/Argentina_unknown/2006/1a/ungulate	GQ379160	2006-02-01	2001-2010	Argentina	South America	1a	ungulate	Equus	Argentina_unknown
GQ379161/Argentina_unknown/2006/1a/ungulate	GQ379161	2006-02-01	2001-2010	Argentina	South America	1a	ungulate	Equus	Argentina_unknown
GQ507480/USA_unknown/2005/1a/human	GQ507480	2005-10-04	2001-2010	USA	North America	1a	human	Homo	USA_unknown
GQ851602/Australia_unknown/1960/1b_kunjin/mosquito	GQ851602	1960-06-01	<2000	Australia	Oceania	1b_kunjin	mosquito	Culex	Australia_unknown
GQ851603/Australia_unknown/1991/1b_kunjin/mosquito	GQ851603	1991-06-01	<2000	Australia	Oceania	1b_kunjin	mosquito	Culex	Australia_unknown
GQ851604/India_unknown/1957/1c_5/unknown	GQ851604	1957-06-01	<2000	India	Asia	1c_5	unknown	unknown	India_unknown
GQ851605/India_unknown/1957/1c_5/mosquito	GQ851605	1957-06-01	<2000	India	Asia	1c_5	mosquito	Culicidae	India_unknown
GQ851606/Senegal_unknown/1979/1a/unknown	GQ851606	1979-06-01	<2000	Senegal	Africa	1a	unknown	unknown	Senegal_unknown
GQ851607/Nigeria_unknown/1965/1a/unknown	GQ851607	1965-06-01	<2000	Nigeria	Africa	1a	unknown	unknown	Nigeria_unknown
GQ851608/CentralAfricanRepublic_unknown/1967/1a/unknown	GQ851608	1967-06-01	<2000	Central African Republic	Africa	1a	unknown	unknown	Central African Republic_unknown
GQ903680/Cyprus_unknown/1968/2/unknown	GQ903680	1968-06-01	<2000	Cyprus	Europe	2	unknown	unknown	Cyprus_unknown
GU011992/Italy_Bologna/2009/1a/human	GU011992	2009-06-01	2001-2010	Italy	Europe	1a	human	Homo	Italy_Bologna
HM051416/Israel_unknown/1953/1a/human	HM051416	1953-06-01	<2000	Israel	Asia	1a	human	Homo	Israel_unknown
HM147822/SouthAfrica_unknown/1958/2/unknown	HM147822	1958-06-01	<2000	South Africa	Africa	2	unknown	unknown	South Africa_unknown
HM147823/Madagascar_unknown/1988/2/unknown	HM147823	1988-06-01	<2000	Madagascar	Africa	2	unknown	unknown	Madagascar_unknown
HM147824/DemocraticRepublicoftheCongo_unknown/1958/2/unknown	HM147824	1958-06-01	<2000	Democratic Republic of the Congo	Africa	2	unknown	unknown	Democratic Republic of the Congo_unknown
HM152773/Israel_unknown/2000/1a/human	HM152773	2000-06-01	<2000	Israel	Asia	1a	human	Homo	Israel_unknown
HM152775/Israel_unknown/2000/1a/human	HM152775	2000-06-01	<2000	Israel	Asia	1a	human	Homo	Israel_unknown
HM488116/USA_Connecticut/2005/1a/mosquito	HM488116	2005-06-01	2001-2010	USA	North America	1a	mosquito	Culex	USA_Connecticut
HM488126/USA_Connecticut/1999/1a/bird	HM488126	1999-06-01	<2000	USA	North America	1a	bird	Corvus	USA_Connecticut
HM488129/USA_Connecticut/2000/1a/mosquito	HM488129	2000-06-01	<2000	USA	North America	1a	mosquito	Culex	USA_Connecticut
