#name, A, B, C, D, E, F
NODE_0000000, 2.4603295066345597e-07, 0.0006358551102388486, 1.3681669914833988e-06, 0.9993532002461181, 8.903443478973976e-07, 8.440099352930465e-06
AF481864/1998/Israel/ISR/D/Eilat/pre-NY/unknown/Bird-other, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000062, 3.733645248145148e-17, 5.383226557030146e-08, 4.123310311481826e-15, 0.9999999461671526, 1.3300548144971896e-15, 5.763201816808726e-13
NODE_0000017, 8.889276536397043e-11, 1.925315887847686e-05, 1.3483955834859819e-09, 0.9999807211186584, 6.939144527441564e-10, 2.3591260298840794e-08
AF202541/1999/USA/NY/Madison/NY99/unknown/Human, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000018, 8.903186077222405e-11, 1.992927868426976e-05, 1.3503818957394394e-09, 0.9999800449139788, 6.948157262953855e-10, 2.3673107415678084e-08
KX547395/2000/USA/NY/Suffolk/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000004, 8.916516565524287e-11, 2.0584761215488228e-05, 1.3523439308706052e-09, 0.999979389347022, 6.957019655887163e-10, 2.3754551338089646e-08
NODE_0000021, 8.88953977536154e-11, 1.9272935980892863e-05, 1.3484080005646758e-09, 0.9999807013411975, 6.939217065898046e-10, 2.359159640652642e-08
HQ671697/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Aedes, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
HQ671714/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000019, 8.88953977536154e-11, 1.9272935980892863e-05, 1.3484080005646758e-09, 0.9999807013411975, 6.939217065898046e-10, 2.359159640652642e-08
KX547564/2002/USA/NY/Suffolk/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
KX547320/2002/USA/NY/Suffolk/NY99/unknown/Bird-other, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000099, 3.8445030362783374e-14, 7.186135893805584e-07, 1.5863299003602118e-12, 0.9999992813053323, 6.456497773115155e-13, 7.880788238535804e-11
NODE_0000101, 8.889252223170386e-11, 1.9252684296339805e-05, 1.3483932201921952e-09, 0.9999807215932621, 6.939131499089319e-10, 2.3591242582090296e-08
AF206518/1999/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000009, 8.888860896494037e-11, 1.9229019170008915e-05, 1.3483783369733768e-09, 0.9999807452587576, 6.939037210242713e-10, 2.3590901787035358e-08
HQ671706/1999/USA/CT/Fairfield/NY99/unknown/Mosquito-Aedes, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
