strain	CO	CO_confidence	CO_entropy	country	country_confidence	country_entropy	division	division_confidence	division_entropy	state	state_confidence	state_entropy	trap	trap_confidence	trap_entropy	zone	zone_confidence	zone_entropy	is_terminal	build
AF196835/1999/USA/NY/Bronx/NY99/unknown/Bird-other	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
AF202541/1999/USA/NY/Madison/NY99/unknown/Human	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	True	wnv
AF206518/1999/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	Not CO	{'Not CO': 0.9999999999999999}	-9.99866855976916e-13	USA	{'USA': 1.0}	-1.000088900581841e-12	CT	{'CT': 1.0}	-1.000088900581841e-12	CT	{'CT': 1.0}	-1.000088900581841e-12	CT	{'CT': 1.0}	-1.000088900581841e-12	CT	{'CT': 1.0}	-1.000088900581841e-12	True	wnv
AF260967/1999/USA/NY/New-York/NY99/unknown/Horse	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 0.9999999999999999}	-9.99866855976916e-13	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	True	wnv
AF404753/2000/USA/MD/Baltimore/NY99/unknown/Bird-crow	Not CO	{'Not CO': 0.9999999999999999}	-9.99866855976916e-13	USA	{'USA': 1.0}	-1.000088900581841e-12	MD	{'MD': 1.0}	-1.000088900581841e-12	MD	{'MD': 0.9999999999999999}	-9.99866855976916e-13	MD	{'MD': 0.9999999999999999}	-9.99866855976916e-13	MD	{'MD': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
AF404754/2000/USA/NJ/Bergen/NY99/unknown/Mosquito-Culex	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	NJ/Bergen	{'NJ/Bergen': 0.9999999999999999}	-9.99866855976916e-13	NJ	{'NJ': 1.0}	-1.000088900581841e-12	NJ/Bergen	{'NJ/Bergen': 1.0}	-1.000088900581841e-12	NJ/Bergen	{'NJ/Bergen': 1.0}	-1.000088900581841e-12	True	wnv
AF404755/2000/USA/NY/Oswego/NY99/unknown/Bird-other	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 0.9999999999999999}	-9.99866855976916e-13	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
AF404756/2000/USA/NY/Rockland/NY99/unknown/Bird-crow	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
AF481864/1998/Israel/ISR/D/Eilat/pre-NY/unknown/Bird-other	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	Israel	{'Israel': 1.0}	-1.000088900581841e-12	ISR/D/Eilat	{'ISR/D/Eilat': 1.0}	-1.000088900581841e-12	ISR/D	{'ISR/D': 1.0}	-1.000088900581841e-12	ISR/D/Eilat	{'ISR/D/Eilat': 1.0}	-1.000088900581841e-12	ISR/D/Eilat	{'ISR/D/Eilat': 1.0}	-1.000088900581841e-12	True	wnv
AF533540/2001/USA/NY/Nassau/NY99/unknown/Human	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
AY289214/2002/USA/TX/Jefferson/NY99/unknown/Human	Not CO	{'Not CO': 0.9999999999999999}	-9.99866855976916e-13	USA	{'USA': 1.0}	-1.000088900581841e-12	TX/Jefferson	{'TX/Jefferson': 1.0}	-1.000088900581841e-12	TX	{'TX': 1.0}	-1.000088900581841e-12	TX/Jefferson	{'TX/Jefferson': 1.0}	-1.000088900581841e-12	TX/Jefferson	{'TX/Jefferson': 1.0}	-1.000088900581841e-12	True	wnv
AY646354/2002/USA/NY/Madison/WN02/unknown/Human	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	True	wnv
