#node	date	numeric date
NODE_0000001	1996-12-08	1996.934838
NODE_0000107	1996-12-08	1996.934838
NODE_0000108	1997-07-25	1997.561813
HQ671718/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	2001-08-01	2001.582192
NODE_0000109	1999-07-14	1999.534164
NODE_0000110	2000-01-13	2000.034449
KJ501480/2001/USA/MD/Anne_Arundel/NY99/unknown/Bird-crow	2001-09-13	2001.700000
AF404753/2000/USA/MD/Baltimore/NY99/unknown/Bird-crow	2000-08-01	2000.583333
NODE_0000111	2000-04-29	2000.326634
DQ164187/2002/USA/NY/Broome/NY99/unknown/Bird-crow	2002-08-01	2002.582192
DQ164192/2003/USA/NY/Rockland/NY99/unknown/Bird-crow	2003-08-01	2003.582192
NODE_0000113	2001-02-03	2001.092890
KJ501293/2003/USA/MD/Prince_George_s/NY99/unknown/Bird-other	2003-10-02	2003.752055
KJ501313/2003/USA/DC/District_Of_Columbia/NY99/unknown/Bird-other	2003-07-29	2003.573973
NODE_0000002	1997-01-13	1997.035314
AF481864/1998/Israel/ISR/D/Eilat/pre-NY/unknown/Bird-other	1998-08-28	1998.656164
NODE_0000011	1997-05-09	1997.351410
AF202541/1999/USA/NY/Madison/NY99/unknown/Human	1999-08-28	1999.656164
NODE_0000012	1999-09-30	1999.747816
KX547395/2000/USA/NY/Suffolk/NY99/unknown/Mosquito-Culex	2000-08-31	2000.665301
NODE_0000015	2001-05-22	2001.388910
HQ671697/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Aedes	2001-08-01	2001.582192
HQ671714/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	2001-08-01	2001.582192
NODE_0000013	2001-04-12	2001.277905
KX547564/2002/USA/NY/Suffolk/NY99/unknown/Bird-crow	2002-08-19	2002.631507
KX547320/2002/USA/NY/Suffolk/NY99/unknown/Bird-other	2002-09-17	2002.710959
NODE_0000014	1997-09-08	1997.685561
MH166903/2000/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown	2000-08-01	2000.583333
NODE_0000017	1998-01-05	1998.012943
NODE_0000023	1999-11-16	1999.875989
NODE_0000024	2000-08-01	2000.583333
MH166901/2000/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown	2000-08-01	2000.583333
MH166904/2000/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown	2000-08-01	2000.583333
NODE_0000025	2000-05-03	2000.338542
KX547393/2002/USA/NY/Suffolk/NY99/unknown/Mosquito-Culex	2002-08-06	2002.595890
NODE_0000026	2000-09-11	2000.694292
KX547378/2002/USA/NY/Suffolk/NY99/unknown/Mosquito-Culex	2002-09-11	2002.694521
HQ671715/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	2001-08-01	2001.582192
NODE_0000016	1998-05-21	1998.384954
NODE_0000007	1999-04-26	1999.316167
DQ164194/2001/USA/NY/Suffolk/NY99/unknown/Bird-crow	2001-08-01	2001.582192
KX547353/2000/USA/NY/Suffolk/NY99/unknown/Mosquito-Culex	2000-07-11	2000.525956
HQ671712/2000/USA/CT/Fairfield/NY99/unknown/Mosquito-Culiseta	2000-08-01	2000.583333
NODE_0000018	1998-05-22	1998.388887
FJ151394/1999/USA/NY/New_York/NY99/unknown/Bird-crow	1999-08-01	1999.582192
NODE_0000019	1998-06-21	1998.469340
NODE_0000065	2000-01-04	2000.008654
KX547210/2001/USA/NY/Nassau/NY99/unknown/Mosquito-Culex	2001-08-17	2001.626027
NODE_0000066	2000-12-25	2000.981582
HQ671696/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	2001-08-01	2001.582192
NODE_0000068	2001-05-27	2001.401263
AF533540/2001/USA/NY/Nassau/NY99/unknown/Human	2001-09-15	2001.705479
KJ786934/2001/USA/NY/Unknown/NY99/unknown/Human	2001-08-01	2001.582192
NODE_0000069	2001-04-01	2001.247288
HQ671717/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Aedes	2001-08-01	2001.582192
HQ671716/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Culiseta	2001-08-01	2001.582192
NODE_0000027	2001-09-06	2001.680822
HM488134/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-other	2001-09-06	2001.680822
HM488135/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-other	2001-09-06	2001.680822
NODE_0000028	1998-06-21	1998.469340
NODE_0000038	1999-09-14	1999.702830
KX547519/2000/USA/NY/Westchester/NY99/unknown/Mosquito-Culex	2000-09-01	2000.668033
HQ671710/2000/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	2000-08-01	2000.583333
NODE_0000041	2000-01-15	2000.040293
HM488132/2000/USA/CT/Fairfield/NY99/unknown/Mosquito-Culiseta	2000-09-20	2000.719945
HQ671708/2000/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	2000-08-01	2000.583333
NODE_0000042	1999-12-09	1999.937493
NODE_0000043	2000-08-21	2000.637638
KJ501289/2001/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow	2001-10-02	2001.752055
KJ501343/2001/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow	2001-09-04	2001.675342
